parksid,gardenname,jurisdiction,borough,address,cross_streets,zipcode,bbl,lotsize,areacovered,status,openhrssu,openhrsm,openhrstu,openhrsw,openhrsth,openhrsf,openhrssa,coundist,communityboard,nta,census_tract,congressionaldist,assemblydist,statesenatedist,policeprecinct,longitude,latitude,point_geometry_wgs84
R146-GT001,Joe Holzka Community Garden,DPR,Staten Island,1170 Castleton Avenue,Barker Street & Castleton Avenue,10310,5001980126,,,Active,CLOSED,1 p.m. to 5:00 p.m.,4:00 to 6 p.m.,4:00 to 6:00 p.m.,4:00 to 6 p.m.,1:00 to 4 p.m.,11 a.m. to 5:00 p.m.,49,501,SI22 /,133.02,11,61,23,120,-74.121457,40.633896,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xB3\xB7\x94\xF3\xC5\x87R\xC0X\x88\x0E\x81#QD@
MGT040,11th Street Community Garden,MLT,Manhattan,422 East 11th Street,1st Avenue & Avenue A,10009,1004390010,,,Active,Noon to 6:00 p.m.,,,,,,Noon to 6:00 p.m.,2,103,MN22 /,34.0,10,74,27,9,-73.982938,40.728692,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xB9\xFF\xC8t\xE8~R\xC0\xADm\x8A\xC7E]D@
MGT037,Our Neighborhood Place,PRI,Manhattan,77 West 127th Street,Lenox Ave. and 5th Ave.,10027,1017250006,1665.0,Full Lot,Active,,,,,,,,9,110,MN03 /,208.0,13,70,30,32,-73.943777,40.808996,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xE4m\xA5\xD7f|R\xC0$LQ.\x8DgD@
MGT032,Villa Santurce,DPR,Manhattan,95 East 111th Street,Park & Madison Avenues,10029,1016170039,7200.0,Partial Lot,Active,,,,,,,,8,111,MN33 /,174.02,13,68,29,23,-73.945843,40.796245,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA2\x09\x14\xB1\x88|R\xC0@M-[\xEBeD@
MGT029,Dorothy Strelsin Memorial Garden (Suffolk St. - Committee of Poor People),NYRP,Manhattan,174 Suffolk Street,Houston & Stanton,10002,1003500005,,,Active,12:00p - 5:00p,,,,12:00p - 5:00p,,12:00p - 5:00p,2,103,MN27 /,30.01,10,65,27,7,-73.984798,40.720952,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA3\xCA0\xEE\x06\x7FR\xC0.\xFE\xB6\x27H\x5CD@
MGT026,Mo' Pals,MLT,Manhattan,545 West 147th Street,Amsterdam & Broadway,10031,1020790011,,,Active,,,,,,,,7,109,MN04 /,233.0,13,71,30,30,-73.94839,40.827506,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x9Fv\xF8k\xB2|R\xC04\x9Fs\xB7\xEBiD@
MGT020,El Cataño Garden,NYRP,Manhattan,171 East 110th Street,3rd & Lexington Avenues,10029,1016380032,,,Active,,,,,,,,8,111,MN33 /,172.0,13,68,29,23,-73.943183,40.794539,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00*\xC9:\x1C]|R\xC0\xC126t\xB3eD@
MGT018,103rd Street Community Garden,NYRP,Manhattan,105 East 103rd Street,Lexington & Park Avenues,10029,1016310002,3229.0,Full Lot,Active,,,,,,,,8,111,MN33 /,166.0,13,68,29,23,-73.948556,40.790927,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00,\x9B9$\xB5|R\xC0\x00C\x8F\x18=eD@"
MGT002,Home Depot Children's Garden,NYRP,Manhattan,421 East 117th Street,btw 1st Ave and Pleasant,10035,1017110011,,,Active,,,,,,,,8,111,MN34 /,178.0,13,68,29,25,-73.933859,40.796483,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xD1\x04\x8AX\xC4{R\xC0\xF6h\xAA\x27\xF3eD@
M396-GT001,Children's Magical Garden,DPR/PRI,Manhattan,131 Stanton Street,Norfolk and Essex St.,10002,1003540018,,,Active,3:00 p.m. - 6:00 p.m.,3:00 p.m. - 6:00 p.m.,3:00 p.m. - 6:00 p.m.,3:00 p.m. - 6:00 p.m.,CLOSED,3:00 p.m. - 6:00 p.m.,3:00 p.m. - 6:00 p.m.,1,103,MN27 /,30.01,10,65,27,7,-73.986576,40.720735,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00/\xC1\xA9\x0F$\x7FR\xC0\x90\x0Ac\x0BA\x5CD@
